Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Michel Pereira,210.083,2024,9-3-0,132.161
Mario Bautista,209.609,2024,9-2-0,125.985
Renato Moicano,209.099,2024,12-5-0,143.809
Gegard Mousasi,208.649,2017,9-3-0,158.465
Dan Severn,208.594,1996,9-4-0,143.206
Brad Tavares,208.572,2018,15-10-0,132.760
Jonathan Martinez,208.343,2023,10-5-0,128.674
Cub Swanson,208.282,2017,14-10-0,146.655
Lerone Murphy,207.479,2024,7-0-1,136.566
Rose Namajunas,207.356,2021,11-6-0,163.608
Brian Ortega,207.240,2020,8-4-0,184.587
Evan Tanner,206.831,2005,11-6-0,117.101
Caio Borralho,206.640,2024,7-0-0,130.145
Rustam Khabilov,206.624,2018,10-3-0,132.441
Tatiana Suarez,206.376,2023,7-0-0,129.273
George Sotiropoulos,205.925,2010,7-4-0,122.506
Justin Gaethje,205.722,2023,8-5-0,224.425
Rani Yahya,205.596,2021,13-6-1,106.610
Renan Barao,205.423,2014,9-8-0,122.792
Giga Chikadze,205.057,2021,8-2-0,140.574
Thales Leites,204.866,2015,13-8-0,131.941
Phil Davis,204.522,2013,9-3-0,138.984
Katlyn Chookagian,203.711,2023,11-5-0,130.098
Brandon Moreno,203.662,2023,10-5-2,163.706
Drakkar Klose,203.352,2024,9-2-0,127.013
Matt Brown,203.163,2014,17-13-0,130.841
Sean Brady,202.759,2024,7-1-0,168.444
Jacare Souza,202.566,2018,9-7-0,172.945
Leonardo Santos,202.418,2020,7-3-1,124.592
Jorge Masvidal,202.283,2019,12-10-0,174.971
Muhammad Mokaev,201.858,2024,7-0-0,113.375
Gleison Tibau,201.746,2015,16-12-0,118.931
Dan Hooker,201.622,2024,14-8-0,151.427
Carla Esparza,200.500,2023,10-6-0,132.252
Pat Miletich,200.402,2000,8-2-0,115.436
Maycee Barber,200.210,2024,9-2-0,116.072
Thiago Alves,199.910,2008,14-12-0,141.740
Diego Ferreira,199.775,2020,10-5-0,145.125
Al Iaquinta,199.078,2018,9-6-0,150.105
Joaquin Buckley,198.213,2024,10-4-0,130.407
Alexander Gustafsson,198.170,2014,10-8-0,162.454
Ricky Simon,198.069,2023,8-5-0,146.850
Rob Font,197.617,2021,11-7-0,158.379
Erin Blanchfield,197.576,2024,7-1-0,156.667
Umar Nurmagomedov,197.162,2024,6-0-0,144.970
Elizeu Zaleski dos Santos,196.761,2023,11-4-1,126.608
Norma Dumont,196.282,2024,8-2-0,128.808
Cody Garbrandt,196.010,2016,9-6-0,158.068
Mark Coleman,195.590,1997,7-5-0,128.810
Ian Garry,195.523,2023,6-0-0,135.837
Martin Kampmann,195.307,2012,11-6-0,133.029
Alex Morono,194.893,2023,13-8-0,115.869
Jared Cannonier,194.840,2023,10-8-0,168.109
Ricardo Lamas,194.826,2017,11-6-0,149.062
Alistair Overeem,194.822,2020,12-8-0,159.644
Jailton Almeida,194.638,2024,7-1-0,147.583
Alex Oliveira,194.579,2018,11-10-0,129.631
Chad Mendes,194.571,2015,9-5-0,157.319
Tim Sylvia,194.381,2006,9-4-0,139.147
Nik Lentz,194.381,2019,14-9-1,129.298
Mateusz Gamrot,194.182,2024,7-3-0,167.554
Dominick Reyes,194.002,2019,8-4-0,156.755
Mike Pierce,193.741,2013,9-5-0,135.302
Jake Ellenberger,193.648,2013,10-11-0,139.365
Matt Hamill,193.539,2010,9-5-0,131.245
Carlos Ulberg,193.487,2024,7-1-0,120.607
Daniel Rodriguez,192.939,2023,8-4-0,145.773
Anthony Smith,192.684,2021,13-11-0,153.727
Dennis Bermudez,192.608,2014,10-7-0,125.282
Myles Jury,192.578,2014,8-4-0,136.443
Sergei Pavlovich,191.964,2023,6-3-0,170.464
Montel Jackson,191.675,2024,8-2-0,117.854
Paddy Pimblett,191.672,2024,6-0-0,122.965
Chris Gutierrez,191.575,2023,9-3-1,128.024
Natalia Silva,191.349,2024,6-0-0,121.167
Kevin Holland,191.348,2020,13-9-0,140.441
Ronda Rousey,191.114,2015,6-2-0,129.016
Bryce Mitchell,191.079,2022,8-2-0,131.597
Sergio Moraes,191.002,2018,8-5-1,128.023
Jens Pulver,190.636,2002,6-2-1,114.209
Gregor Gillespie,190.484,2021,7-1-0,134.499
Nassourdine Imavov,190.356,2024,7-2-0,153.836
Francis Carmont,189.774,2013,6-3-0,127.859
Corey Anderson,189.713,2019,10-5-0,130.177
Bryan Battle,189.428,2024,7-1-0,118.023
Zabit Magomedsharipov,189.410,2019,6-0-0,113.854
Quinton Jackson,189.293,2011,8-5-0,162.190
Elias Theodorou,189.242,2018,8-3-0,129.339
Travis Browne,189.133,2013,9-7-1,149.784
Karo Parisyan,189.128,2007,8-4-0,120.498
Marvin Vettori,188.992,2023,9-5-1,156.014
Stefan Struve,188.675,2012,13-11-0,118.589
Nate Diaz,188.616,2019,16-11-0,154.674
Tatsuro Taira,188.582,2024,6-1-0,117.505
Dominick Cruz,187.921,2021,7-3-0,173.489
Matheus Nicolau,187.871,2023,7-4-0,120.578
Mairbek Taisumov,187.573,2018,7-2-0,114.153
Melvin Guillard,187.537,2011,12-9-0,120.919
Jussier Formiga,186.997,2019,9-7-0,142.807
Rick Story,186.975,2016,12-7-0,141.255
Yan Xiaonan,186.963,2024,9-3-0,137.489
Li Jingliang,186.927,2021,11-7-0,128.330
Rafael Fiziev,186.890,2023,6-3-0,148.678
Marcin Tybura,186.755,2023,13-8-0,137.435
Geoff Neal,186.672,2023,8-4-0,159.947
Marina Rodriguez,186.535,2022,7-5-2,136.683
Jake Matthews,186.344,2020,13-7-0,122.461
Paul Felder,186.287,2019,9-6-0,150.609
Mark Munoz,186.273,2011,9-6-0,138.074
John Hathaway,186.068,2012,7-2-0,123.620
Darren Till,185.988,2018,6-5-1,172.450
Roger Huerta,185.726,2007,6-2-0,119.595
Jamahal Hill,185.718,2023,6-2-0,146.982
Kyoji Horiguchi,185.545,2016,7-1-0,110.532
Alexa Grasso,185.470,2023,8-4-1,145.452
TJ Grant,185.444,2013,8-3-0,130.354
Pedro Munhoz,185.232,2019,10-10-0,153.432
Michael Morales,184.904,2024,5-0-0,154.392
Luke Rockhold,183.945,2015,6-5-0,183.313
Julianna Pena,183.851,2024,8-3-0,153.237
Tai Tuivasa,183.344,2022,8-8-0,148.088
Jack Hermansson,183.327,2019,11-6-0,146.458
Forrest Griffin,183.246,2011,10-5-0,145.716
Zak Cummings,183.149,2023,10-4-0,121.175
Anthony Hernandez,182.921,2024,7-2-0,122.465
Alejandro Perez,182.837,2018,8-4-1,105.569
Krzysztof Jotko,182.709,2023,11-6-0,125.059
Dennis Siver,182.369,2012,12-8-0,122.001
Nate Marquardt,182.192,2009,12-12-0,142.009
Urijah Faber,182.155,2015,11-7-0,141.351
Matt Mitrione,181.902,2014,9-5-0,123.002
Cheick Kongo,181.785,2011,11-6-1,116.148
Drew Dober,181.323,2023,13-10-0,119.298
Jimmie Rivera,181.286,2017,7-4-0,150.050
James Krause,180.795,2019,9-4-0,122.255
Dan Ige,180.783,2020,10-8-0,145.238
Aleksandar Rakic,180.637,2021,6-4-0,156.992
Omari Akhmedov,180.483,2019,9-5-1,131.141
Paulo Costa,180.314,2019,6-4-0,168.422
Sodiq Yusuff,180.156,2023,6-3-0,141.556
Andre Muniz,180.118,2023,6-2-0,145.107
Germaine de Randamie,180.018,2020,7-3-0,137.721
Ryan LaFlare,179.685,2017,7-3-0,139.620
Amanda Lemos,179.581,2023,8-4-0,136.941
Vinc Pichel,179.432,2021,7-4-0,124.146
Evan Dunham,179.147,2016,11-9-1,144.533
Gunnar Nelson,179.088,2018,10-5-0,147.057
Mike Pyle,179.083,2013,10-9-0,119.162
Rinat Fakhretdinov,178.993,2024,5-0-1,143.673
Said Nurmagomedov,178.863,2023,7-2-0,127.824
David Teymur,178.491,2018,5-1-0,133.998
Pedro Rizzo,178.471,2001,9-5-0,133.359
Alex Caceres,178.442,2023,16-13-0,113.326
Ricco Rodriguez,178.330,2002,5-2-0,125.022
Daniel Kelly,178.180,2017,6-4-0,129.544
Matt Lindland,178.024,2005,9-3-0,115.064
Oleg Taktarov,177.884,1995,6-2-1,130.571
Roman Dolidze,177.687,2024,8-3-0,135.093
Alan Belcher,177.556,2012,9-6-0,122.178
Nasrat Haqparast,177.498,2024,9-4-0,119.127
Anthony Rocco Martin,177.486,2019,9-6-0,140.513
Claudio Silva,177.432,2019,5-3-0,117.894
Alex Perez,177.196,2020,7-5-0,147.857
Sergio Pettis,177.073,2018,9-5-0,125.713
Diego Lopes,177.064,2024,5-1-0,168.017
Antonio Carlos Junior,176.563,2018,7-5-0,116.877
Chan Sung Jung,176.313,2021,7-5-0,185.110
Mirsad Bektic,176.206,2018,6-4-0,125.768
Shane Burgos,176.032,2019,8-3-0,131.111
Takeya Mizugaki,175.951,2014,8-6-0,114.745
Frank Shamrock,175.944,1999,5-0-0,113.976
Olivier Aubin-Mercier,175.931,2018,7-5-0,111.461
Anthony Pettis,175.778,2014,11-9-0,182.731
Gregory Rodrigues,175.653,2024,7-2-0,120.176
Ovince Saint Preux,175.479,2015,15-13-0,133.175
Kyler Phillips,175.473,2024,6-2-0,123.169
Amir Albazi,175.440,2023,5-1-0,120.179
Jared Rosholt,175.393,2015,6-2-0,115.205
Brandon Royval,175.198,2024,7-3-0,151.218
Ryan Spann,175.056,2023,8-5-0,131.157
Tracy Cortez,175.046,2023,5-1-0,122.088
John Dodson,175.039,2016,10-7-0,135.691
Ludovit Klein,174.883,2024,7-2-1,109.713
Marcus Davis,174.850,2009,8-6-0,119.743
Sam Alvey,174.733,2018,10-13-1,119.870
Adrian Yanez,174.630,2023,6-2-0,120.787
Calvin Kattar,174.559,2022,7-6-0,176.143
Michael Johnson,174.446,2015,14-15-0,135.328
Andre Petroski,174.393,2023,7-2-0,107.492
Rousimar Palhares,174.368,2012,8-4-0,122.320
Dan Henderson,173.964,2011,9-9-0,162.198
Raoni Barcelos,173.935,2020,7-4-0,110.262
Alonzo Menifield,173.899,2023,8-5-1,122.511
Cristiane Justino,173.862,2019,6-1-0,121.914
Tyson Griffin,173.843,2009,8-6-0,114.999
Muslim Salikhov,173.814,2021,8-4-0,151.149
Damir Ismagulov,173.788,2023,5-2-0,125.364
Nate Quarry,173.675,2009,7-3-0,122.224
Joe Lauzon,173.665,2011,15-12-0,128.393
Kyung Ho Kang,173.636,2023,8-5-0,110.307
Sean Woodson,173.577,2024,6-1-1,102.759
Jack Shore,173.359,2022,6-3-0,118.831
Gillian Robertson,173.262,2024,12-6-0,104.896
Nathaniel Wood,173.245,2023,8-3-0,115.278
Matt Wiman,172.940,2012,10-8-0,114.192
Tecia Torres,172.700,2017,9-6-0,121.753
Nicolas Dalby,172.664,2023,7-4-1,128.563
Kai Kara-France,172.565,2022,8-4-0,123.660
Clay Guida,172.546,2011,18-19-0,133.630
Alexandr Romanov,172.482,2023,7-3-0,125.959
Ketlen Vieira,172.124,2023,8-4-0,127.287
Virna Jandiroba,171.883,2024,7-3-0,131.430
Mackenzie Dern,171.614,2021,9-5-0,123.558
Uriah Hall,171.523,2021,10-9-0,145.058
Rafael Natal,171.332,2016,9-7-1,112.651
Chris Leben,171.307,2006,12-10-0,106.858
Chas Skelly,171.113,2022,8-3-0,111.200
Carlos Condit,171.022,2012,9-10-0,168.749
JunYong Park,170.963,2023,8-3-0,106.956
Cynthia Calvillo,170.954,2020,6-6-1,117.064
Erik Perez,170.953,2016,7-2-0,110.448
Nikita Krylov,170.825,2023,11-7-0,135.860
Serghei Spivac,170.726,2024,8-4-0,132.518
Paul Craig,170.378,2022,9-9-1,128.101
Carlos Prates,170.352,2024,4-0-0,160.338
Jairzinho Rozenstruik,170.120,2020,9-5-0,154.739
Josh Barnett,169.830,2013,7-3-0,147.790
Dan Hardy,169.590,2009,6-4-0,151.958
Spencer Fisher,169.335,2009,9-8-0,111.494
Marlon Moraes,169.287,2019,5-6-0,186.185
Tim Means,168.931,2021,15-14-0,120.265
Cezar Ferreira,168.772,2018,9-6-0,111.858
Macy Chiasson,168.324,2024,8-3-0,113.132
Jimi Manuwa,167.961,2017,6-6-0,144.544
Joanderson Brito,167.424,2024,5-2-0,129.656
Ryan Hall,167.254,2019,5-1-0,134.721
Jonathan Pearce,167.192,2023,5-4-0,127.475
Ilir Latifi,167.191,2018,9-7-0,131.558
Tim Boetsch,167.133,2012,12-12-0,140.394
Shane Carwin,166.962,2010,4-2-0,149.474
Joe Stevenson,166.856,2009,8-8-0,132.535
Cody Stamann,166.853,2020,7-7-1,131.128
Khalil Rountree Jr.,166.642,2023,9-6-0,115.349
Iuri Alcantara,166.357,2017,10-7-0,109.339
Constantinos Philippou,166.302,2012,6-4-0,121.908
Dustin Jacoby,166.024,2023,7-6-1,117.722
Bobby Green,166.002,2024,13-10-1,149.001
Benoit Saint Denis,165.965,2023,5-3-0,149.684
Sean Sherk,165.771,2008,8-4-0,140.504
Azamat Murzakanov,165.728,2024,4-0-0,134.057
Abel Trujillo,165.354,2016,6-4-0,123.493
Jalin Turner,165.289,2023,7-5-0,130.935
Rashid Magomedov,165.253,2017,5-1-0,140.062
Khaos Williams,165.151,2024,6-2-0,133.060
Casey Kenney,164.990,2020,5-3-0,136.525
Warlley Alves,164.722,2015,8-8-0,123.905
Louis Smolka,164.658,2016,8-9-0,109.365
Jeremiah Wells,164.614,2023,4-2-0,126.186
Brian Ebersole,164.607,2012,5-3-0,124.826
Kurt Pellegrino,164.344,2010,7-5-0,120.412
Mark Madsen,164.269,2022,4-2-0,138.034
Bryan Caraway,164.213,2016,6-4-0,131.193
Chris Daukaus,164.131,2021,4-4-0,152.472
Thiago Silva,164.094,2013,7-3-0,136.224
Aiemann Zahabi,163.971,2024,6-2-0,112.093
Chepe Mariscal,163.936,2024,4-0-0,124.282
Brad Riddell,163.555,2021,4-3-0,133.692
Edmen Shahbazyan,163.437,2019,6-5-0,124.102
William Gomis,163.433,2024,4-0-0,120.507
Yves Edwards,163.370,2004,10-10-0,101.822
Fares Ziam,163.307,2024,6-2-0,110.622
Hakeem Dawodu,163.054,2020,6-4-0,122.075
Vladimir Matyushenko,163.044,2011,7-5-0,129.022
Gabriel Gonzaga,163.010,2013,12-10-0,117.946
Mike Russow,162.934,2012,4-2-0,116.806
Scott Holtzman,162.885,2020,7-6-0,121.657
Amanda Ribas,162.872,2020,7-4-0,138.347
Albert Tumenov,162.864,2016,5-3-0,115.049
Ramazan Emeev,162.846,2021,5-3-0,125.856
Alan Patrick,162.800,2018,5-4-0,115.429
Marco Ruas,162.773,1995,4-2-0,122.396
Ben Saunders,162.742,2015,9-10-0,127.211
Misha Cirkunov,162.735,2016,6-7-0,128.346
Steve Garcia,162.722,2024,6-2-0,105.838
Joel Alvarez,162.551,2024,6-2-0,116.645
Shara Magomedov,162.485,2024,4-0-0,116.332
Farid Basharat,162.395,2024,4-0-0,115.022
Claudio Puelles,162.289,2023,5-3-0,115.993
Loopy Godinez,162.102,2023,7-5-0,109.348
Ken Shamrock,162.070,1996,7-5-2,144.568
Ed Herman,161.951,2013,13-11-0,114.685
Da Woon Jung,161.924,2021,4-4-1,118.711
Rodrigo Nascimento,161.838,2023,5-3-0,123.082
Tabatha Ricci,161.747,2024,6-3-0,120.737
Clint Hester,161.744,2014,4-3-0,110.932
Brandon Vera,161.722,2006,8-7-0,123.131
Jordan Johnson,161.621,2018,4-0-0,111.280
Dustin Hazelett,161.589,2008,5-4-0,121.235
Mark Hunt,161.550,2017,8-8-1,146.325
Marcus McGhee,161.509,2024,4-0-0,107.866
Augusto Sakai,161.424,2020,5-4-0,128.463
Danny Castillo,161.325,2013,7-7-0,130.301
Alan Jouban,161.320,2016,8-5-0,117.035
Joe Solecki,161.320,2023,5-3-0,137.760
Felice Herrig,161.195,2017,5-5-0,107.234
Mick Parkin,161.104,2024,4-0-0,108.290
Michael McDonald,161.096,2012,6-3-0,127.718
Jerry Bohlander,161.090,1998,5-2-0,106.838
Cathal Pendred,161.084,2015,4-2-0,105.840
Aleksei Oleinik,161.083,2020,9-8-0,129.951
Chris Wade,161.070,2016,5-2-0,107.642
Brock Lesnar,160.995,2010,4-3-0,162.257
Karine Silva,160.806,2024,4-1-0,108.237
Ross Pearson,160.679,2014,12-13-0,124.827
Stevie Ray,160.574,2017,7-4-0,123.836
Mark Kerr,160.470,1997,4-0-0,103.893
Nordine Taleb,160.423,2017,7-5-0,120.741
Pat Sabatini,160.385,2023,6-2-0,113.504
Johnny Case,160.353,2015,4-2-0,107.916
Justin Willis,160.316,2018,4-1-0,112.817
Jiri Prochazka,160.100,2024,4-2-0,189.341
Marcos Rogerio de Lima,160.099,2023,11-7-0,120.442
Steven Siler,160.054,2013,5-4-0,116.564
Chris Camozzi,160.008,2013,9-10-0,112.858
Vitor Petrino,159.954,2024,4-1-0,112.157
Ricardo Ramos,159.833,2019,8-5-0,108.795
Wilson Reis,159.824,2017,7-6-0,129.342
Jasmine Jasudavicius,159.803,2024,6-2-0,108.308
Bo Nickal,159.800,2024,4-0-0,99.472
Guy Mezger,159.763,1997,4-1-0,104.012
Laverne Clark,159.730,2000,4-1-0,94.021
Norman Parke,159.716,2014,5-3-1,119.875
Chael Sonnen,159.715,2012,7-7-0,184.726
Thomas Almeida,159.638,2015,5-5-0,120.432
Ben Rothwell,159.585,2016,9-8-0,133.825
Irene Aldana,159.543,2023,8-6-0,136.228
John Howard,159.371,2010,7-7-0,113.080
James Te Huna,159.144,2013,5-5-0,108.680
Enrique Barzola,159.025,2018,6-3-1,109.221
Thiago Tavares,159.004,2014,10-7-1,116.126
Aaron Simpson,158.980,2011,7-4-0,114.576
CB Dollaway,158.865,2014,11-9-0,119.738
Karol Rosa,158.855,2021,7-3-0,105.709
Matthew Riddle,158.582,2010,7-3-0,108.233
Wilson Gouveia,158.571,2008,6-4-0,110.243
Mauricio Rua,158.503,2020,11-12-1,148.210
JJ Aldrich,158.349,2022,9-6-0,101.577
Cole Miller,158.213,2010,10-9-0,104.223
Makwan Amirkhani,158.189,2019,7-7-0,119.414
John Makdessi,158.172,2021,11-9-0,118.413
Chad Laprise,158.145,2017,6-4-0,107.640
Miranda Maverick,158.140,2024,7-3-0,107.025
Johnny Walker,157.707,2023,7-6-0,155.078
Martin Buday,157.627,2023,5-1-0,98.054
Casey O'Neill,157.577,2022,5-2-0,102.650
Taylor Lapilus,157.324,2024,6-2-0,108.080
Jon Madsen,157.142,2010,4-1-0,94.566
Jeremy Stephens,157.097,2018,15-18-0,139.689
Waldo Cortes-Acosta,157.014,2024,5-1-0,94.003
Miles Johns,156.635,2024,6-2-0,98.502
Chase Hooper,156.211,2024,7-3-0,94.013
Alexis Davis,156.142,2017,8-6-0,107.381
Sage Northcutt,155.855,2018,6-2-0,99.100
Joshua Van,155.849,2024,5-1-0,95.563
Loma Lookboonmee,155.795,2024,6-2-0,95.222
Roy Nelson,155.795,2013,9-10-0,133.794
Lauren Murphy,155.600,2023,8-6-0,120.221
Bryan Barberena,154.928,2023,9-10-0,134.338
Chris Cariaso,153.837,2014,7-6-0,109.364
Volkan Oezdemir,153.502,2017,8-7-0,156.128
Damon Jackson,153.175,2023,6-6-1,124.533
Jared Gordon,153.162,2023,8-6-0,133.759
Askar Askarov,152.872,2021,3-1-1,145.272
Krzysztof Soszynski,152.761,2011,6-3-0,96.856
Tim Kennedy,152.591,2014,3-2-0,159.610
Jacob Volkmann,152.513,2011,6-4-0,112.598
Chris Curtis,152.203,2023,5-3-0,151.348
Ray Borg,152.061,2020,7-5-0,128.539
Holly Holm,152.040,2015,8-7-0,138.569
Yancy Medeiros,152.020,2017,6-8-0,144.393
Shamil Abdurakhimov,151.631,2019,5-6-0,129.187
Davi Ramos,151.574,2019,4-3-0,131.029
Adriano Martins,151.540,2015,4-3-0,132.805
Miesha Tate,151.476,2016,7-6-0,120.427
Dustin Ortiz,151.425,2018,8-6-0,128.913
Jason Knight,151.010,2017,4-5-0,123.805
Curtis Millender,150.918,2018,3-2-0,146.436
John Moraga,150.733,2018,8-6-0,130.229
Shawn Jordan,150.587,2015,6-4-0,124.056
Christian Rodriguez,150.576,2024,4-2-0,118.248
Michelle Waterson-Gomez,150.541,2019,6-9-0,132.970
Andre Fili,150.475,2019,12-10-0,121.968
Keith Jardine,150.218,2007,6-7-0,134.626
Trevin Giles,150.199,2021,7-7-0,115.786
Karolina Kowalkiewicz,149.974,2018,9-9-0,123.602
Ronny Markes,149.963,2013,3-2-0,118.728
Taila Santos,149.797,2021,4-3-0,143.190
Brian Kelleher,149.785,2022,8-9-0,120.487
Iasmin Lucindo,149.749,2024,4-1-0,114.209
Claudia Gadelha,149.638,2020,7-5-0,125.503
Renato Sobral,149.415,2006,6-4-0,132.188
Ignacio Bahamondes,149.411,2024,5-2-0,118.100
Niko Price,149.407,2019,8-8-0,141.886
David Loiseau,149.251,2005,4-5-0,125.328
Muhammad Naimov,149.184,2024,3-1-0,119.606
Mike Malott,149.161,2024,4-1-0,131.362
Seth Baczynski,149.116,2012,5-6-0,116.290
Frankie Saenz,149.046,2015,5-5-0,110.718
Mark Bocek,149.032,2012,8-5-0,114.853
Mike Perry,148.908,2017,7-8-0,149.546
Asu Almabayev,148.848,2024,3-0-0,122.345
Jimmy Crute,148.827,2020,4-4-1,132.040
Josh Samman,148.681,2015,3-2-0,113.659
Brian Stann,148.625,2011,6-5-0,117.207
Matthew Semelsberger,148.618,2023,5-6-0,122.416
Dooho Choi,148.610,2016,5-3-1,118.224
