Fighter,Peak Elo,Year Achieved,UFC Record,Avg. Opp. Elo
Mike Davis,148.585,2024,4-1-0,110.840
Ali Bagautinov,148.585,2014,4-3-0,146.606
Miguel Baeza,148.578,2020,3-4-0,122.451
Jean Silva,148.371,2024,3-0-0,118.165
Eddie Alvarez,148.216,2017,4-3-0,190.069
Ruslan Magomedov,148.153,2015,3-0-0,116.862
Hermes Franca,148.094,2007,6-5-0,123.087
Din Thomas,148.043,2007,5-4-0,106.470
Mateusz Rebecki,147.998,2024,4-1-0,125.373
Marco Beltran,147.997,2016,3-3-0,98.728
Daniel Marcos,147.982,2024,3-0-0,112.055
Jake Shields,147.972,2013,4-3-0,161.585
Edimilson Souza,147.906,2015,3-1-0,119.819
Brendan Schaub,147.905,2011,6-5-0,125.111
Carlston Harris,147.858,2023,4-2-0,123.431
Kyle Noke,147.822,2011,6-6-0,101.552
Elves Brener,147.817,2023,3-2-0,122.491
Mark Hominick,147.796,2011,3-4-0,106.584
Cody Durden,147.756,2023,6-5-1,106.430
David Abbott,147.739,1996,8-10-0,118.611
Terry Etim,147.616,2009,6-5-0,105.671
Kajan Johnson,147.588,2018,4-3-0,124.049
Paul Sass,147.571,2012,3-2-0,124.924
Alberto Mina,147.532,2016,3-1-0,113.798
Steve Erceg,147.503,2024,3-2-0,139.080
Claude Patrick,147.441,2011,3-1-0,116.786
Mike Easton,147.367,2012,3-4-0,113.737
David Onama,147.366,2024,5-2-0,104.964
Andrea Lee,147.353,2019,5-8-0,117.555
Joe Duffy,147.353,2017,4-4-0,120.813
Luke Barnatt,147.316,2014,3-3-0,110.755
Rony Jason,147.264,2013,4-4-0,120.020
Tim Credeur,147.264,2009,3-2-0,117.614
Javid Basharat,147.255,2023,3-1-0,117.080
Montana De La Rosa,147.233,2019,6-5-1,115.899
Kyle Kingsbury,147.230,2011,4-5-0,104.240
Akira Corassani,147.203,2013,3-3-0,122.362
Marcus Brimage,147.196,2012,4-4-0,101.723
Bruno Silva,147.157,2023,6-6-0,129.175
Mickey Gall,147.136,2016,6-7-0,107.596
Jose Quinonez,147.119,2018,5-4-0,105.995
Mitch Gagnon,147.083,2014,4-4-0,111.070
Diego Brandao,146.936,2013,6-4-0,116.594
Nate Maness,146.872,2021,5-2-0,107.439
Gavin Tucker,146.844,2020,4-3-0,112.139
Aspen Ladd,146.841,2019,4-3-0,127.415
Makhmud Muradov,146.840,2021,4-2-0,115.525
Caio Magalhaes,146.802,2014,4-3-0,112.396
Gerald Meerschaert,146.784,2018,12-10-0,118.367
Elias Silverio,146.720,2014,3-2-0,107.370
Bartosz Fabinski,146.679,2018,3-3-0,122.055
Jacqueline Cavalcanti,146.661,2024,3-0-0,105.064
Brett Johns,146.644,2017,5-2-0,119.321
Alexander Hernandez,146.636,2019,7-7-0,148.077
Phil Hawes,146.634,2021,4-4-0,107.783
Magnus Cedenblad,146.609,2016,4-2-0,100.572
Joaquim Silva,146.595,2017,6-5-0,118.306
Eliot Marshall,146.566,2009,3-3-0,112.259
Tom Breese,146.540,2018,5-3-0,121.664
Jeremy Kennedy,146.533,2017,3-1-0,115.194
Paige VanZant,146.530,2015,5-4-0,112.361
Dan Miller,146.466,2009,6-7-0,109.254
Roland Delorme,146.406,2013,3-3-0,102.091
Cameron Saaiman,146.372,2023,3-2-0,109.161
Nick Diaz,146.352,2011,7-7-0,145.890
Joe Pyfer,146.279,2023,4-1-0,113.796
Kennedy Nzechukwu,146.240,2023,8-5-0,105.160
Abdul Razak Alhassan,146.220,2018,6-6-0,103.865
Dean Lister,146.078,2008,4-2-0,122.488
Joshua Burkman,146.039,2007,6-12-0,120.242
Brad Blackburn,146.008,2009,3-2-0,103.655
Kiichi Kunimoto,146.002,2014,3-2-0,113.073
Billy Quarantillo,145.957,2020,6-4-0,121.365
Viviane Araujo,145.927,2023,7-5-0,130.567
Andre Lima,145.902,2024,3-0-0,100.540
Valerie Letourneau,145.896,2015,3-3-0,112.977
Nick Hein,145.885,2016,4-4-0,97.409
David Dvorak,145.876,2021,3-3-0,110.717
Bethe Correia,145.860,2014,5-6-1,109.540
Manuel Torres,145.831,2024,3-1-0,107.397
Justin Ledet,145.828,2017,3-4-0,100.414
Gerald Harris,145.828,2010,3-1-0,100.000
Jake O'Brien,145.828,2007,4-3-0,117.698
Shonie Carter,145.828,2001,3-3-0,113.317
Payton Talbott,145.745,2024,3-0-0,99.284
Josiane Nunes,145.646,2023,3-2-0,102.391
Zubaira Tukhugov,145.609,2021,5-3-1,112.086
Oban Elliott,145.598,2024,3-0-0,97.967
Jason Lambert,145.579,2007,4-4-0,111.101
Amir Sadollah,145.501,2011,6-5-0,103.539
Michal Oleksiejczuk,145.450,2023,7-7-0,121.824
Roosevelt Roberts,145.425,2020,4-5-0,116.954
Tagir Ulanbekov,145.409,2023,4-1-0,105.814
Themba Gorimbo,145.387,2024,4-2-0,113.574
Youssef Zalal,145.307,2020,6-3-1,105.455
Rogerio Nogueira,145.258,2013,6-7-0,156.877
Gabriel Benitez,145.117,2018,7-8-0,110.435
Luana Santos,145.001,2024,3-1-0,100.961
Vanessa Demopoulos,144.856,2024,5-3-0,103.782
Court McGee,144.836,2011,11-12-0,113.897
Manny Bermudez,144.767,2019,3-2-0,95.926
Ailin Perez,144.731,2024,4-1-0,90.987
Robert Peralta,144.650,2014,4-3-0,114.044
Marc Diakiese,144.627,2017,8-7-0,102.684
Nicolae Negumereanu,144.625,2023,4-2-0,94.590
Maryna Moroz,144.605,2022,6-6-0,106.281
Maurice Greene,144.569,2019,4-4-0,102.762
Marco Polo Reyes,144.488,2018,4-4-0,104.908
Marion Reneau,144.437,2018,5-7-1,111.144
Jeff Molina,144.400,2023,3-0-0,89.465
Rinya Nakamura,144.378,2024,3-0-0,88.895
Alatengheili,144.246,2023,5-2-1,108.756
Mayra Bueno Silva,144.146,2023,5-4-1,121.194
Raul Rosas Jr.,144.109,2024,4-1-0,94.113
Ben Nguyen,144.065,2017,4-3-0,108.621
Antonio Rodrigo Nogueira,144.021,2012,5-6-0,153.790
Patrick Cote,143.989,2016,10-11-0,127.786
Mohammed Usman,143.927,2023,3-2-0,94.728
Rodolfo Vieira,143.886,2024,5-2-0,105.580
Daron Cruickshank,143.869,2014,6-6-0,108.459
Danny Roberts,143.374,2018,7-7-0,120.144
Paulo Thiago,143.243,2010,5-8-0,137.284
Luana Pinheiro,142.937,2023,3-3-0,105.686
Karl Williams,142.877,2024,3-1-0,86.190
Molly McCann,142.693,2023,7-6-0,93.702
Song Kenan,142.557,2020,6-5-0,104.208
Erick Silva,142.400,2015,7-8-0,131.517
Thiago Moises,141.631,2023,7-6-0,130.592
Ricardo Almeida,140.145,2010,6-5-0,121.750
Victor Henry,139.813,2024,3-2-0,142.746
Jorge Rivera,139.798,2010,8-7-0,114.129
Jeremy Horn,138.927,2006,6-7-0,120.716
Matt Frevola,138.271,2023,5-5-1,125.500
Aleksei Kunchenko,138.027,2018,2-2-0,174.098
Bill Algeo,137.915,2023,5-5-0,115.743
Matt Serra,137.825,2007,7-7-0,128.065
Yana Santos,137.814,2021,5-5-0,126.646
Stephan Bonnar,137.788,2011,8-7-0,131.750
Ian Heinisch,137.748,2019,3-4-0,154.228
Luana Carolina,137.671,2024,6-3-0,86.005
Manel Kape,137.201,2023,4-3-0,125.175
Paul Daley,137.151,2010,2-1-0,177.589
Jordan Mein,137.133,2014,5-4-0,130.346
Matt Schnell,136.838,2019,6-7-0,120.690
Sean Pierson,136.785,2013,4-2-0,124.307
Maurice Smith,136.776,2000,4-3-0,129.864
Kevin Randleman,136.623,2000,4-3-0,135.695
Kayla Harrison,136.476,2024,2-0-0,157.931
Pannie Kianzad,136.412,2021,5-6-0,121.511
Charles Johnson,136.218,2024,6-4-0,105.649
Siyar Bahadurzada,136.159,2018,4-4-0,120.795
Murilo Bustamante,136.151,2002,3-1-0,131.143
John Castaneda,135.991,2023,4-3-0,120.601
Rich Clementi,135.884,2008,5-5-0,105.409
Nate Landwehr,135.827,2023,5-4-0,117.083
Josh Thomson,135.791,2013,3-4-0,157.415
Charlie Brenneman,135.769,2011,4-7-0,117.673
Alessio Sakara,135.743,2010,6-8-0,103.458
Patrick Smith,135.695,1995,4-2-0,122.938
Alex Garcia,135.297,2016,5-5-0,130.234
Ian Machado Garry,135.195,2024,2-1-0,165.570
Philipe Lins,135.103,2024,4-2-0,105.885
Gabriel Bonfim,135.030,2024,3-1-0,134.038
Tatsuya Kawajiri,134.961,2015,3-3-0,137.734
Karl Roberson,134.950,2019,4-6-0,119.131
Kevin Aguilar,134.929,2019,2-4-0,122.198
Myktybek Orolbai,134.902,2024,2-1-0,137.519
Andre Ewell,134.818,2020,4-5-0,116.565
Douglas Silva de Andrade,134.817,2023,7-6-0,116.238
Chris Lytle,134.808,2010,10-10-0,120.324
Jeff Monson,134.753,2006,4-3-0,123.077
Roman Kopylov,134.710,2024,5-3-0,109.309
Marcio Cruz,134.653,2006,2-2-0,130.914
Esteban Ribovics,134.634,2024,3-1-0,115.023
Ivan Salaverry,134.574,2005,3-4-0,111.401
Vitor Miranda,134.484,2016,3-4-0,109.418
Luis Pena,134.380,2019,5-3-0,110.726
Jaqueline Amorim,134.376,2024,3-1-0,112.852
Vinicius Oliveira,134.255,2024,2-0-0,132.646
Pete Williams,134.215,1999,3-5-0,115.680
Khama Worthy,134.136,2020,2-3-0,104.502
Paul Kelly,134.077,2009,5-4-0,108.204
Antoni Hardonk,134.076,2008,4-4-0,114.790
Ian Freeman,134.041,2002,3-2-1,105.331
Yves Jabouin,133.981,2012,5-5-0,101.853
Patrick Cummins,133.976,2014,6-7-0,118.048
Sara McMann,133.948,2017,7-6-0,120.034
Andrew Craig,133.900,2013,3-4-0,122.036
Daniel Roberts,133.865,2011,3-4-0,116.245
Duane Ludwig,133.859,2011,4-5-0,114.146
Lucas Martins,133.721,2014,4-3-0,118.576
Sabina Mazo,133.687,2020,3-4-0,105.730
Denise Gomes,133.599,2024,4-2-0,109.536
Greg Hardy,133.576,2020,4-5-0,114.478
Ivan Menjivar,133.497,2012,4-5-0,106.203
Ikram Aliskerov,133.484,2023,2-1-0,168.691
Herbert Burns,133.460,2020,2-4-0,110.322
Bas Rutten,133.440,1999,2-0-0,124.409
Saidyokub Kakhramonov,133.439,2023,2-1-0,137.441
Scott Ferrozzo,133.425,1997,3-2-0,110.010
Nick Osipczak,133.403,2009,2-3-0,110.115
William Knight,133.393,2021,3-4-0,103.033
Luiz Cane,133.380,2009,4-5-0,110.266
Efrain Escudero,133.347,2009,5-7-0,109.101
TJ Waldburger,133.289,2012,4-4-0,123.853
Nina Nunes,133.266,2018,5-4-0,113.411
Tomasz Drwal,133.254,2009,3-3-0,107.999
Remco Pardoel,133.204,1995,3-2-0,121.533
Houston Alexander,133.204,2007,2-4-0,110.463
Magomed Mustafaev,133.180,2019,3-2-0,121.714
Eryk Anders,133.096,2018,9-8-0,121.832
Phil Rowe,133.071,2023,3-3-0,135.291
Josh Culibao,133.020,2023,3-4-1,111.086
Laureano Staropoli,132.990,2019,2-4-0,110.391
Uros Medic,132.882,2023,4-2-0,114.176
Daniel Omielanczuk,132.868,2016,4-5-0,110.802
Adlan Amagov,132.791,2013,2-0-0,116.598
Paul Buentello,132.767,2006,3-3-0,122.633
George Sullivan,132.764,2014,3-4-0,114.640
Nursulton Ruziboev,132.732,2024,2-1-0,133.600
Hyun Gyu Lim,132.721,2013,3-4-0,113.399
Cat Zingano,132.704,2014,3-4-0,130.733
Guangyou Ning,132.702,2015,2-2-0,107.648
Todd Duffee,132.640,2014,3-2-0,114.493
Kevin Burns,132.628,2008,2-3-0,98.730
Gadzhimurad Antigulov,132.613,2017,2-4-0,106.754
Igor Araujo,132.608,2014,2-2-0,115.683
Russell Doane,132.600,2014,3-5-0,118.480
Armen Petrosyan,132.591,2023,3-3-0,120.674
Timur Valiev,132.581,2021,2-1-0,121.329
Viviane Pereira,132.547,2017,2-2-0,114.464
Jhonata Diniz,132.537,2024,2-1-0,131.305
Nora Cornolle,132.529,2024,2-1-0,119.811
Tony Gravely,132.439,2023,4-4-0,106.369
Kevin Jousset,132.359,2023,2-1-0,126.659
Devin Clark,132.329,2020,8-9-0,110.394
Andrew Sanchez,132.304,2016,5-5-0,107.400
Ottman Azaitar,132.195,2020,2-2-0,101.483
John Maguire,132.132,2012,2-3-0,119.172
Terrance McKinney,132.101,2022,5-4-0,102.898
Tom Lawlor,132.068,2009,6-5-0,109.283
Ramsey Nijem,132.045,2012,5-5-0,105.059
Nick Maximov,132.029,2022,2-2-0,112.371
Diego Rivas,132.026,2016,2-2-0,104.486
Soa Palelei,132.019,2014,4-3-0,98.303
Joanne Wood,132.003,2016,9-8-0,115.061
Michael Trizano,132.000,2018,4-3-0,111.891
Daniel Pineda,132.000,2012,5-8-0,121.815
Johnny Bedford,132.000,2012,2-3-0,110.603
Erik Koch,132.000,2011,5-5-0,110.775
Brian Bowles,132.000,2011,2-2-0,97.475
Jess Liaudin,132.000,2007,2-3-0,107.177
Kevin Jackson,132.000,1997,2-2-0,115.640
Gary Goodridge,132.000,1996,4-4-0,118.785
Dave Beneteau,132.000,1995,3-3-0,119.423
Gerard Gordeau,132.000,1993,2-1-0,116.000
Paul Varelans,131.998,1995,4-4-0,111.055
Phillip Miller,131.995,2002,2-0-0,107.948
Michael Graves,131.968,2016,2-0-1,110.434
Henrique da Silva,131.968,2016,2-4-0,100.348
Steve Jennum,131.966,1994,2-1-0,110.680
Brandon Thatch,131.960,2013,2-4-0,123.590
Brady Hiestand,131.958,2024,3-1-0,99.739
Devonte Smith,131.947,2019,3-3-0,94.780
Trey Waters,131.939,2024,2-0-0,107.689
Chris Holdsworth,131.937,2014,2-0-0,107.314
Brock Larson,131.934,2009,3-3-0,97.216
Omar Morales,131.924,2020,3-4-0,108.532
Chris Duncan,131.899,2023,3-1-0,114.856
Phil Baroni,131.875,2002,3-7-0,122.666
Jordan Leavitt,131.873,2023,4-3-0,110.447
Jessica-Rose Clark,131.866,2018,4-5-0,87.237
Tsuyoshi Kohsaka,131.864,1998,3-3-0,118.147
Zach Makovsky,131.836,2014,3-4-0,125.208
Brunno Ferreira,131.832,2024,3-2-0,108.035
Oumar Sy,131.826,2024,2-0-0,106.108
Arjan Bhullar,131.817,2019,3-1-0,106.941
Punahele Soriano,131.806,2021,4-4-0,100.374
Jean Matsumoto,131.803,2024,2-0-0,105.900
Nazim Sadykhov,131.754,2023,2-0-1,98.896
Hatsu Hioki,131.561,2012,3-5-0,119.167
Jason Saggo,131.405,2016,3-3-0,118.466
Tyson Pedro,131.365,2017,6-5-0,101.268
Carlos Felipe,131.312,2021,3-2-0,107.441
Joe Proctor,131.307,2014,4-4-0,102.010
Mac Danzig,131.302,2008,5-8-0,113.329
Kendall Grove,131.300,2007,6-6-0,109.811
Hugo Viana,131.298,2012,3-3-0,102.778
Fredy Serrano,131.296,2015,2-2-0,93.216
Jason Brilz,131.295,2009,3-4-0,120.189
Poliana Botelho,131.294,2018,3-4-0,109.362
Nicholas Musoke,131.291,2014,3-3-0,108.658
Charlie Campbell,131.279,2024,2-0-0,99.835
Kenichi Yamamoto,131.274,1999,2-1-0,128.801
Lavar Johnson,131.270,2012,2-2-0,118.027
Chris Padilla,131.264,2024,2-0-0,100.000
Zhang Mingyang,131.264,2024,2-0-0,100.000
Josefine Knutsson,131.264,2024,2-0-0,100.000
Melsik Baghdasaryan,131.264,2021,3-1-0,99.953
Don Madge,131.264,2019,2-0-0,100.000
Nad Narimani,131.264,2018,2-2-0,111.632
Danny Henry,131.264,2018,2-2-0,114.395
Chris Beal,131.264,2014,2-3-0,91.285
Zhang Lipeng,131.264,2014,2-2-0,99.816
Royston Wee,131.264,2014,2-1-0,105.333
Nick Ring,131.264,2011,3-3-0,115.023
Pablo Garza,131.264,2011,3-3-0,104.473
Rich Attonito,131.264,2010,3-2-0,104.128
David Heath,131.264,2006,2-3-0,107.521
Tony DeSouza,131.264,2001,2-3-0,100.701
Mike van Arsdale,131.264,2005,2-2-0,130.700
Steve Nelmark,131.264,1996,2-1-0,110.587
Joel Sutton,131.264,1995,2-0-0,100.000
Keith Hackney,131.264,1994,2-2-0,143.531
Johnny Rhodes,131.264,1994,2-1-0,105.813
Jason DeLucia,131.264,1994,2-2-0,115.451
Ronnie Lawrence,131.207,2022,2-1-0,104.109
Danny Barlow,131.205,2024,2-0-0,99.335
Jesus Aguilar,131.198,2024,3-1-0,96.319
Melissa Gatto,131.191,2021,3-2-0,106.890
Daniel Zellhuber,131.137,2024,3-2-0,99.553
JeongYeong Lee,131.109,2024,2-1-0,103.494
Hector Lombard,131.082,2014,3-8-0,153.079
Julian Erosa,131.071,2024,8-7-0,115.744
Brad Katona,131.034,2018,4-4-0,93.772
Francisco Rivera,130.985,2013,4-6-0,119.328
Tainara Lisboa,130.831,2023,2-0-0,95.073
Jack Jenkins,130.821,2023,3-1-0,97.445
Chidi Njokuani,130.775,2023,4-3-0,97.488
Dylan Andrews,130.700,2013,2-3-0,94.081
Ildemar Alcantara,130.685,2013,4-3-0,92.338
Shane Nelson,130.658,2009,2-2-0,92.751
Hyder Amil,130.640,2024,2-0-0,92.026
Jennifer Maia,130.628,2023,6-6-0,133.816
Clayton Carpenter,130.624,2024,2-0-0,92.719
Dave Menne,130.624,2001,2-4-0,105.764
Rob Emerson,130.607,2008,3-3-0,93.965
Trevor Prangley,130.606,2005,2-2-0,94.172
Rogerio Bontorin,130.598,2019,2-3-0,114.187
Eddie Sanchez,130.594,2007,3-3-0,100.473
Rodrigo Damm,130.582,2014,3-4-0,106.631
Pingyuan Liu,130.582,2018,2-2-0,106.906
Darren Uyenoyama,130.561,2012,2-2-0,106.766
Eugene Jackson,130.561,1999,3-4-0,98.361
Mark Hall,130.532,1996,4-3-0,116.319
Julio Arce,130.530,2018,6-4-0,112.501
Justine Kish,130.529,2016,3-4-0,102.093
Alex Hunter,130.529,1997,2-0-0,91.632
Tanner Boser,130.506,2020,5-5-0,105.746
Oskar Piechota,130.503,2018,2-3-0,94.861
Scott Jorgensen,130.502,2011,4-8-0,97.653
Joey Beltran,130.498,2010,3-6-0,103.638
Cory McKenna,130.406,2023,3-3-0,96.676
Francimar Barroso,130.151,2016,4-4-0,101.035
Mauricio Ruffy,130.139,2024,2-0-0,87.819
Piera Rodriguez,130.119,2023,2-2-0,101.687
Adam Wieczorek,130.076,2018,2-1-0,94.611
Sijara Eubanks,130.019,2018,5-5-0,107.500
Bea Malecki,129.992,2020,2-1-0,90.723
Livinha Souza,129.955,2019,3-3-0,83.765
Viscardi Andrade,129.949,2016,3-1-0,96.142
Charles Radtke,129.928,2024,3-1-0,96.328
Juan Espino,129.835,2020,2-1-0,100.418
Jimy Hettes,129.783,2011,3-3-0,112.824
HyunSung Park,129.773,2023,2-0-0,83.665
Yazmin Jauregui,129.744,2023,3-2-0,92.374
Max Griffin,129.628,2024,8-9-0,140.178
Ibo Aslan,129.340,2024,2-0-0,77.986
Christian Leroy Duncan,129.229,2024,3-2-0,106.254
Aleksandra Albu,129.212,2017,2-2-0,88.880
Julia Avila,129.202,2020,3-2-0,87.920
David Branch,129.202,2018,4-5-0,141.820
Justin Scoggins,129.197,2016,4-5-0,99.629
Paddy Holohan,129.181,2015,3-2-0,100.443
Sumudaerji,129.132,2021,3-4-0,95.174
Ronaldo Rodriguez,129.032,2024,2-0-0,74.947
Batgerel Danaa,128.960,2021,3-4-0,105.485
Joselyne Edwards,128.863,2023,5-4-0,93.558
Parker Porter,128.803,2022,4-4-0,89.477
Felipe Arantes,128.774,2016,5-6-1,107.135
Danilo Marques,128.678,2021,2-2-0,89.382
Teruto Ishihara,128.675,2016,3-5-1,102.990
Shayilan Nuerdanbieke,128.396,2023,3-3-0,84.040
Ariane Lipski,128.215,2023,6-5-0,113.070
Julian Marquez,128.204,2021,3-4-0,88.530
Desmond Green,128.137,2019,4-3-0,142.826
Cyrille Diabate,128.098,2012,4-4-0,94.749
Viktoriia Dudakova,127.104,2023,2-1-0,61.592
Sam Stout,127.056,2012,9-11-0,113.826
Davey Grant,126.616,2023,6-6-0,116.744
Lorenz Larkin,125.702,2016,5-5-0,146.368
Charles Jourdain,125.604,2023,7-7-1,118.799
Hacran Dias,125.552,2015,3-5-0,137.554
Kenny Robertson,124.821,2015,4-5-0,116.930
Blagoy Ivanov,124.714,2019,3-5-0,161.313
Jamie Varner,124.012,2012,3-6-0,126.848
Antonio Silva,123.949,2013,3-7-1,152.591
Darren Stewart,123.818,2020,5-7-0,106.893
Ion Cutelaba,123.784,2019,7-9-1,121.304
Abus Magomedov,123.658,2024,3-2-0,136.611
Damir Hadzovic,123.360,2019,4-5-0,120.235
Tarec Saffiedine,122.954,2016,2-4-0,179.582
Rafa Garcia,122.909,2023,4-4-0,125.390
Igor Pokrajac,122.648,2012,4-8-0,98.371
Trevor Smith,122.612,2016,5-7-0,121.687
Jamie Mullarkey,122.486,2023,5-6-0,113.971
KJ Noons,122.454,2014,2-3-0,121.704
Ricky Glenn,122.362,2021,4-6-1,127.689
Lyman Good,122.361,2019,3-3-0,141.120
David Terrell,122.272,2006,2-1-0,154.666
Jason MacDonald,122.045,2007,5-8-0,122.166
Joe Riggs,121.983,2006,5-7-0,124.612
Caol Uno,121.948,2003,3-5-2,124.951
Raulian Paiva,121.478,2021,3-4-0,117.374
Ismail Naurdiev,121.456,2024,3-2-0,134.730
Christos Giagos,121.272,2021,6-8-0,110.311
Godofredo Pepey,121.269,2016,5-6-0,112.976
Ben Askren,121.159,2019,1-2-0,210.128
Matthew Lopez,121.151,2017,2-4-0,146.404
Fabio Maldonado,121.001,2014,5-6-0,114.757
Fabiano Iha,120.900,2001,3-4-0,104.308
Liz Carmouche,120.838,2019,5-5-0,109.625
Frank Trigg,120.560,2004,2-5-0,145.945
Carlos Newton,120.499,2001,3-4-0,127.108
Maximo Blanco,120.482,2015,4-5-0,107.459
Zak Ottow,120.463,2018,4-4-0,122.882
Ismael Bonfim,120.214,2024,2-1-0,137.024
Mirko Filipovic,120.131,2010,5-6-0,121.127
Jacob Malkoun,120.002,2024,4-3-0,116.300
Michael Chandler,119.905,2021,2-4-0,233.774
Shamil Gaziev,119.808,2024,2-1-0,135.157
James Head,119.754,2012,2-3-0,117.072
Sergey Khandozhko,119.439,2023,2-1-0,131.654
Falaniko Vitale,119.393,2003,1-1-0,165.111
Michael Page,119.385,2024,1-1-0,146.908
Cung Le,119.327,2012,2-2-0,135.548
Chance Rencountre,119.314,2019,2-2-0,116.540
Brad Pickett,119.245,2014,5-9-0,114.710
Diego Nunes,119.209,2012,3-3-0,127.527
Nikolas Motta,119.158,2024,3-2-0,105.652
Mounir Lazzez,119.103,2023,2-2-0,122.267
Dwight Grant,119.047,2019,3-5-0,117.278
Andre Fialho,119.038,2023,2-5-0,130.965
Drew Fickett,118.912,2007,4-3-0,113.352
Tamdan McCrory,118.842,2015,4-5-0,120.160
Yoshiyuki Yoshida,118.834,2009,2-3-0,119.366
Sheymon Moraes,118.775,2018,2-3-0,119.707
Sam Sicilia,118.770,2015,5-7-0,105.208
Lina Lansberg,118.738,2019,4-7-0,110.342
Leandro Silva,118.720,2015,3-4-0,106.930
SeungWoo Choi,118.700,2021,4-6-0,107.086
James Irvin,118.699,2008,4-6-0,110.691
Brian Johnston,118.626,1996,2-4-0,131.365
Gan McGee,118.624,2003,2-2-0,120.148
Bogdan Guskov,118.602,2024,2-1-0,114.074
Will Brooks,118.556,2016,1-3-0,150.164
Jafel Filho,118.509,2024,2-1-0,114.537
Darrick Minner,118.416,2021,2-4-0,128.884
Eric Spicely,118.382,2017,2-5-0,105.732
Luigi Fioravanti,118.320,2006,4-5-0,120.815
Ryan Jimmo,118.305,2014,3-4-0,119.028
Felipe Lima,118.250,2024,1-0-0,149.184
Isaac Vallie-Flagg,118.224,2013,1-3-0,129.978
Goran Reljic,118.222,2008,1-3-0,125.597
DaMarques Johnson,118.169,2011,4-6-0,116.411
Kalib Starnes,118.168,2007,2-3-0,122.292
Daniel Santos,118.163,2023,2-1-0,111.318
Gian Villante,118.149,2015,7-11-0,110.267
Jack Marshman,118.134,2016,3-5-0,121.440
Jonathan Goulet,118.127,2008,4-5-0,121.624
Maiquel Falcao,118.098,2010,1-0-0,145.828
Allan Nascimento,118.078,2023,2-1-0,110.421
Khalid Murtazaliev,118.072,2018,1-0-0,145.239
Reinier de Ridder,118.033,2024,1-0-0,144.379
Andrew Holbrook,118.026,2016,2-3-0,106.452
Emily Whitmire,117.987,2019,2-4-0,93.536
Takashi Sato,117.963,2020,2-5-0,122.470
Tom Niinimaki,117.947,2013,1-3-0,106.623
Chelsea Chandler,117.934,2024,2-2-0,111.758
Ketlen Souza,117.933,2024,2-1-0,109.154
Justin Tafa,117.919,2023,4-4-0,99.080
Stephanie Egger,117.907,2022,3-4-0,108.199
Hector Sandoval,117.892,2017,2-2-0,107.710
Kamuela Kirk,117.867,2021,1-2-0,109.710
Roan Carneiro,117.844,2007,4-5-0,126.244
Megan Anderson,117.834,2020,3-3-0,129.730
Lance Benoist,117.830,2011,2-2-0,104.524
Trey Ogden,117.809,2024,3-2-0,99.951
Justin McCully,117.777,2008,2-2-0,114.139
Neil Seery,117.667,2015,3-4-0,114.004
Bart Palaszewski,117.661,2011,1-3-0,118.236
Walt Harris,117.660,2019,6-9-0,121.456
Elvis Sinosic,117.631,2001,1-6-0,130.589
Brian Melancon,117.558,2013,1-1-0,124.966
Yoshihiro Akiyama,117.524,2009,2-5-0,136.667
Piotr Hallmann,117.514,2013,2-4-0,123.214
Josh Neer,117.498,2006,6-9-0,115.603
Mike Wilkinson,117.477,2014,2-2-0,119.687
Che Mills,117.477,2012,2-1-0,125.645
Gabe Green,117.451,2023,2-3-0,115.007
Mike Grundy,117.436,2019,1-3-0,114.241
Jutaro Nakao,117.436,2001,1-1-0,123.264
Carmelo Marrero,117.405,2006,1-3-0,123.268
Dennis Hallman,117.405,2000,4-5-0,128.423
Sanae Kikuta,117.404,2000,1-0-0,130.561
Jake Hecht,117.384,2011,1-2-0,112.478
Shinsho Anzai,117.379,2017,2-2-0,115.307
Brianna Fortino,117.376,2019,1-1-0,119.180
Antonio Carvalho,117.348,2012,2-2-0,118.687
Ashlee Evans-Smith,117.339,2016,3-6-0,98.182
Sergey Morozov,117.337,2023,3-2-0,100.040
Michinori Tanaka,117.304,2014,2-3-0,113.533
Shane Roller,117.303,2011,2-4-0,114.124
Waylon Lowe,117.283,2011,2-2-0,119.309
Timothy Johnson,117.269,2017,4-3-0,111.128
Felicia Spencer,117.204,2020,3-3-0,136.089
Pascal Krauss,117.095,2013,2-2-0,114.643
Emil Meek,117.064,2016,1-3-0,151.907
Masanori Kanehara,116.946,2014,1-2-0,134.450
Joe Charles,116.944,1995,2-2-0,117.202
Luke Sanders,116.942,2016,3-5-0,117.235
Eric Schafer,116.917,2009,3-6-0,113.580
Pete Spratt,116.861,2003,3-4-0,105.017
Danny Silva,116.846,2024,1-0-0,118.382
Jason Day,116.843,2008,1-2-0,130.257
Trevin Jones,116.837,2021,1-4-0,115.270
Niklas Backstrom,116.826,2014,1-2-0,106.423
Irina Alekseeva,116.813,2023,1-1-0,108.837
Lucie Pudilova,116.799,2018,3-8-0,98.274
Junior Albini,116.795,2017,1-4-0,125.836
Tristan Connelly,116.795,2019,1-2-0,127.864
Hunter Azure,116.793,2020,2-2-0,115.954
Melissa Dixon,116.774,2023,1-0-0,116.813
Ikuhisa Minowa,116.772,2000,1-0-0,116.767
Lee Murray,116.770,2004,1-0-0,116.736
Semmy Schilt,116.768,2001,1-1-0,109.459
Antonina Shevchenko,116.767,2018,4-4-0,102.982
Daria Zhelezniakova,116.767,2024,1-1-0,122.989
Joe Slick,116.767,1999,1-1-0,108.333
